x y
6.80000 2.00000
7.40000 0.00000
0.00000 0.00000
4.93333 0.00000
5.60000 0.00000
2.80000 0.00000
7.40000 2.00000
6.80000 0.00000
7.40000 0.00000
9.30000 0.00000
16.70000 0.00000
14.80000 0.00000
9.30000 0.00000
9.30000 4.00000
0.00000 2.00000
9.30000 4.00000
13.00000 4.00000
7.40000 2.00000
5.60000 4.00000
9.30000 2.00000
16.70000 0.00000
0.00000 0.00000
11.10000 0.00000
7.40000 0.00000
7.40000 6.00000
5.60000 2.00000
7.40000 6.00000
14.80000 2.00000
16.70000 0.00000
11.10000 4.00000
0.00000 2.00000
11.10000 4.00000
11.10000 2.00000
7.40000 0.00000
9.30000 0.00000
14.80000 4.00000
22.20000 0.00000
11.10000 0.00000
18.50000 0.00000
0.00000 0.00000
18.50000 0.00000
13.00000 4.00000
20.40000 2.00000
14.80000 0.00000
11.10000 2.00000
0.00000 2.00000
9.30000 0.00000
14.80000 0.00000
13.00000 0.00000
9.30000 0.00000
13.00000 0.00000
9.30000 2.00000
13.00000 0.00000
11.10000 0.00000
9.30000 0.00000
13.00000 0.00000
9.30000 0.00000
11.10000 0.00000
9.30000 0.00000
0.00000 0.00000
11.10000 8.00000
11.10000 0.00000
5.60000 0.00000
11.10000 2.00000
5.60000 0.00000
5.60000 2.00000
11.10000 0.00000
11.10000 0.00000
7.40000 0.00000
0.00000 2.00000
9.30000 0.00000
9.30000 0.00000
14.80000 0.00000
9.30000 0.00000
13.00000 2.00000
7.40000 2.00000
5.60000 0.00000
13.00000 0.00000
5.60000 0.00000
11.10000 0.00000
9.30000 0.00000
14.80000 0.00000
13.00000 0.00000
7.40000 0.00000
9.30000 4.00000
11.10000 0.00000
18.50000 2.00000
16.70000 0.00000
9.30000 2.00000
11.10000 6.00000
14.80000 0.00000
0.00000 0.00000
14.80000 0.00000
14.80000 2.00000
9.86667 6.00000
20.40000 0.00000
7.40000 0.00000
11.10000 0.00000
9.30000 0.00000
7.40000 0.00000
11.10000 0.00000
8.66667 0.00000
0.00000 0.00000
18.50000 0.00000
16.70000 2.00000
13.00000 2.00000
11.10000 4.00000
0.00000 6.00000
5.60000 2.00000
7.40000 2.00000
5.60000 2.00000
0.00000 0.00000
0.00000 0.00000
5.60000 0.00000
0.00000 0.00000
9.30000 0.00000
0.00000 0.00000
0.00000 2.00000
5.60000 0.00000
0.00000 2.00000
11.10000 2.00000
0.00000 0.00000
5.60000 0.00000
10.20000 2.00000
7.42500 2.00000
0.00000 2.00000
11.15000 0.00000
7.45000 0.00000
5.60000 0.00000
10.20000 0.00000
10.20000 0.00000
11.12500 0.00000
14.06000 0.00000
14.80000 4.00000
11.10000 0.00000
9.30000 2.00000
0.00000 4.00000
0.00000 6.00000
5.60000 0.00000
13.00000 0.00000
7.40000 0.00000
5.60000 4.00000
5.60000 0.00000
